nombre;sexe;annee;prenoms;nombre_total_cumule
8;M;2009;Lazare;8
13;F;2009;Leïla;13
122;M;2009;Léo;122
5;M;2009;Lirone;5
13;F;2009;Liv;13
6;F;2009;Liya;6
18;F;2009;Lou-Ann;18
51;M;2009;Luca;51
5;F;2009;Lucy;5
43;M;2009;Mamadou;43
5;M;2009;Manuel;5
6;F;2009;Marilou;6
5;F;2009;Maureen;5
5;F;2009;Meriam;5
6;M;2009;Modibo;6
8;M;2009;Mody;8
9;M;2009;Morgan;9
22;F;2009;Morgane;22
7;M;2009;Nathaniel;7
13;F;2009;Norah;13
7;F;2009;Noura;7
44;F;2009;Océane;44
6;M;2009;Oren;6
5;M;2009;Oskar;5
16;F;2009;Rania;16
7;M;2009;Saul;7
8;M;2009;Tao;8
5;M;2009;Terence;5
11;M;2009;Vladimir;11
28;M;2009;Walid;28
46;M;2009;Youssef;46
19;M;2010;Adel;19
16;M;2010;Aloïs;16
9;F;2010;Angélique;9
6;M;2010;Archibald;6
13;F;2010;Ashley;13
65;F;2010;Aya;65
93;M;2010;Benjamin;93
33;F;2010;Chiara;33
111;F;2010;Clémence;111
8;F;2010;Cléophée;8
11;F;2010;Clotilde;11
15;M;2010;Constantin;15
23;M;2010;Eliot;23
7;M;2010;Eyal;7
8;M;2010;Fabio;8
24;F;2010;Farah;24
16;M;2010;Ferdinand;16
50;M;2010;Ibrahim;50
68;F;2010;Iris;68
10;M;2010;Issam;10
87;M;2010;Jean;87
21;F;2010;Jessica;21
76;F;2010;Laura;76
39;F;2010;Lena;39
5;M;2010;Livio;5
26;M;2010;Loïc;26
6;F;2010;Malia;6
10;M;2010;Malick;10
23;M;2010;Malik;23
15;F;2010;Mariama;15
37;M;2010;Max;37
9;F;2010;Naïla;9
30;M;2010;Nassim;30
11;F;2010;Nayla;11
56;M;2010;Nicolas;56
252;M;2010;Paul;252
20;F;2010;Philippine;20
7;F;2010;Rosa;7
5;F;2010;Serine;5
7;M;2010;Shaï;7
9;F;2010;Sienna;9
9;F;2010;Soraya;9
6;M;2010;Stan;6
11;M;2010;Téo;11
5;M;2010;Thiago;5
92;F;2010;Victoire;92
7;M;2010;Younès;7
27;M;2010;Zakaria;27
10;M;2010;Ziyad;10
6;F;2011;Aby;6
38;F;2011;Aïcha;38
16;F;2011;Aïssatou;16
14;M;2011;Alan;14
88;M;2011;Alexis;88
18;F;2011;Alya;18
42;M;2011;Anatole;42
33;F;2011;Anouk;33
5;F;2011;Asmaa;5
5;F;2011;Aylin;5
6;F;2011;Barbara;6
6;F;2011;Bonnie;6
9;M;2011;Damian;9
6;M;2011;Dani;6
7;F;2011;Eléna;7
30;F;2011;Estelle;30
161;F;2011;Eva;161
7;M;2011;Ezio;7
7;M;2011;Fadi;7
11;F;2011;Fanny;11
10;F;2011;Gabriella;10
10;F;2011;Gloria;10
6;F;2011;Grâce;6
11;F;2011;Ilyana;11
10;M;2011;Imran;10
5;M;2011;Inza;5
63;M;2011;Isaac;63
5;M;2011;Jacob;5
7;F;2011;Joanna;7
6;M;2011;John;6
54;M;2011;Joshua;54
48;M;2011;Julien;48
180;F;2011;Juliette;180
18;F;2011;Lara;18
7;M;2011;Laurent;7
9;F;2011;Line;9
92;F;2011;Lisa;92
8;F;2011;Liza;8
10;M;2011;Lou;10
306;F;2011;Louise;306
13;M;2011;Matéo;13
7;F;2011;Matilde;7
25;M;2011;Maximilien;25
6;M;2011;Michaël;6
19;F;2011;Mina;19
5;F;2011;Miya;5
6;M;2011;Nadir;6
9;M;2011;Nolann;9
5;F;2011;Olga;5
18;M;2011;Omar;18
7;M;2011;Pedro;7
60;M;2011;Robin;60
9;F;2011;Sabrina;9
13;F;2011;Sacha;178
14;F;2011;Sonia;14
5;M;2011;Steven;5
8;M;2011;Vasco;8
320;M;2004;Alexandre;320
6;F;2004;Alexane;6
33;M;2004;Ali;33
5;F;2004;Althéa;5
8;F;2004;Anaé;8
21;M;2004;Bilal;21
42;F;2004;Candice;42
9;M;2004;Christopher;9
26;M;2004;Diego;26
6;F;2004;Doriane;6
5;M;2004;Eliès;5
7;F;2004;Elona;7
36;M;2004;Emile;36
9;F;2004;Fiona;9
52;M;2004;Florian;52
15;F;2004;Hawa;15
58;F;2004;Sofia;58
28;F;2004;Sophia;28
7;F;2004;Swann;17
5;M;2004;Tidiane;5
17;F;2004;Vanessa;17
69;M;2004;Vincent;69
6;M;2004;Wilfried;6
8;M;2004;Yoni;8
7;F;2004;Yuna;7
13;M;2005;Adem;13
5;F;2005;Adja;5
6;F;2005;Anaelle;6
16;F;2005;Angelina;16
6;F;2005;Antonia;6
23;F;2005;Ariane;23
5;F;2005;Armelle;5
15;F;2005;Aude;15
9;M;2005;Bakary;9
21;F;2005;Cécile;21
15;M;2005;Cédric;15
13;F;2005;Charline;13
11;F;2005;Cléa;11
31;M;2005;Cyprien;31
9;M;2005;Dany;9
6;M;2005;Florentin;6
8;F;2005;Hermine;8
5;F;2005;Hermione;5
40;M;2005;Hippolyte;40
5;F;2005;Ikram;5
7;M;2005;Ilhan;7
11;M;2005;Ilyas;11
21;F;2005;Jasmine;21
45;M;2005;Kevin;45
7;M;2005;Khalil;7
6;F;2005;Lindsay;6
36;F;2005;Lise;36
32;M;2005;Lorenzo;32
29;F;2005;Louna;29
17;F;2005;Ludivine;17
19;F;2005;Maïlys;19
36;M;2005;Marc;36
20;M;2005;Marin;20
16;F;2005;Melissa;16
6;M;2005;Melvil;6
54;F;2005;Myriam;54
7;F;2005;Natalia;7
7;F;2005;Pia;7
135;M;2005;Pierre;135
5;F;2005;Rym;5
25;F;2005;Salma;25
6;F;2005;Satine;6
5;F;2005;Solveig;5
57;M;2005;Timothée;57
6;M;2005;Youri;6
12;M;2006;Alessandro;12
7;F;2006;Alizée;7
9;M;2006;Alpha;9
19;F;2006;Anastasia;19
15;F;2004;Isabelle;15
5;M;2004;Léo-Paul;5
16;F;2004;Lily;16
13;F;2004;Lison;13
10;M;2004;Logan;10
15;F;2004;Louisa;15
8;M;2004;Louison;8
5;F;2004;Maayane;5
28;F;2004;Madeleine;28
42;F;2004;Maëlle;42
18;F;2004;Maeva;18
11;F;2004;Marwa;11
18;M;2004;Mathys;18
10;M;2004;Matias;10
5;F;2004;Naïs;5
49;F;2004;Noa;72
24;F;2004;Nour;29
5;M;2004;Peter;5
283;M;2004;Raphaël;283
25;M;2004;Roméo;25
5;F;2011;Viktoria;5
6;M;2011;Wissem;6
6;F;2011;Yousra;6
15;M;2011;Youssouf;15
20;M;2011;Zacharie;20
6;F;2012;Agnès;6
7;M;2012;Akram;7
29;M;2012;Alex;29
12;F;2012;Aline;12
25;F;2012;Anaëlle;25
6;M;2012;Angelo;6
8;M;2012;Avi;8
13;M;2012;Aymeric;13
42;F;2012;Blanche;42
8;M;2012;Calvin;8
6;F;2012;Camilia;6
85;F;2012;Clara;85
11;F;2012;Clélia;11
27;F;2012;Clémentine;27
11;M;2012;Clovis;11
7;M;2012;Eliel;7
7;M;2012;Éloi;7
9;F;2012;Ema;9
9;M;2012;Emilien;9
6;M;2012;Ewenn;6
60;F;2012;Fatoumata;60
6;F;2012;Flavie;6
6;M;2012;Giulio;6
10;F;2012;Grace;10
5;M;2012;Hassane;5
10;F;2012;Izia;10
7;M;2012;Jason;7
10;M;2012;Jean-Baptiste;10
8;M;2012;Joakim;8
5;M;2012;Joan;5
113;F;2012;Julia;113
27;M;2012;Julian;27
9;F;2012;June;9
6;F;2012;Kadidiatou;6
6;F;2012;Klara;6
8;F;2012;Léonor;8
10;F;2012;Léopoldine;10
9;M;2012;Luis;9
5;F;2012;Mariem;5
7;M;2012;Maximilian;7
69;F;2012;Maya;69
5;M;2012;Michel;5
17;M;2012;Mohammed;17
15;F;2012;Mona;15
5;M;2012;Mouhamadou;5
17;F;2012;Naëlle;17
7;F;2012;Ophélie;7
7;F;2012;Paola;7
5;F;2012;Quitterie;5
83;F;2012;Romane;83
53;M;2012;Ruben;53
10;F;2012;Safia;10
10;F;2012;Sana;10
5;F;2012;Sherine;5
19;M;2012;Timothé;19
5;F;2012;Zeinab;5
6;M;2013;Alistair;6
10;F;2013;Aliyah;10
16;F;2013;Amira;16
16;F;2013;Angèle;16
8;F;2013;Assya;8
7;M;2013;Benoît;7
